customer_number,day_part,first_seen_datetime_local,first_seen_datetime_utc,first_seen_local,first_seen_utc,id,location,model_id,tts
0,1,,,1596439156,1596464356,288,1,94,257
1,1,,,1596465075,1596490275,289,1,83,309
2,1,,,1596465212,1596490412,290,1,97,257
3,1,,,1596441646,1596466846,291,1,1,263
4,1,,,1596442173,1596467373,292,1,94,165
5,1,,,1596442191,1596467391,293,1,96,553
6,1,,,1596442622,1596467822,294,1,141,421
7,1,,,1596442831,1596468031,295,1,186,310
8,1,,,1596445250,1596470450,296,1,1,844
9,1,,,1596445704,1596470904,297,1,77,488
10,1,,,1596445936,1596471136,298,1,165,324
11,1,,,1596446379,1596471579,299,1,203,243
12,1,,,1596446395,1596471595,300,1,207,443
13,1,,,1596446442,1596471642,301,1,216,552
14,1,,,1596446676,1596471876,302,1,257,286
15,1,,,1596449072,1596474272,303,1,29,75
16,1,,,1596449579,1596474779,304,1,95,294
17,1,,,1596449690,1596474890,305,1,123,520
18,1,,,1596450032,1596475232,306,1,193,248
19,1,,,1596450119,1596475319,307,1,214,304
20,2,,,1596452548,1596477748,308,1,22,264
21,2,,,1596452540,1596477740,309,1,17,245
22,2,,,1596452690,1596477890,310,1,50,155
23,2,,,1596452778,1596477978,311,1,71,165
24,2,,,1596452807,1596478007,312,1,81,170
25,2,,,1596453139,1596478339,313,1,112,312
26,2,,,1596453259,1596478459,314,1,140,169
27,2,,,1596453220,1596478420,315,1,129,276
28,2,,,1596453336,1596478536,316,1,167,425
29,2,,,1596453409,1596478609,317,1,178,453
30,2,,,1596453411,1596478611,318,1,180,581
31,2,,,1596453521,1596478721,319,1,202,493
32,2,,,1596453895,1596479095,320,1,320,346
33,2,,,1596453948,1596479148,321,1,333,293
34,2,,,1596456055,1596481255,322,1,1,238
35,2,,,1596456113,1596481313,323,1,19,347
36,2,,,1596456230,1596481430,324,1,46,156
37,2,,,1596456242,1596481442,325,1,52,342
38,2,,,1596456266,1596481466,326,1,58,618
39,2,,,1596456335,1596481535,327,1,90,778
40,2,,,1596456341,1596481541,328,1,95,819
41,2,,,1596456279,1596481479,329,1,66,1154
42,2,,,1596456680,1596481880,330,1,214,665
43,2,,,1596456982,1596482182,331,1,296,222
44,2,,,1596457004,1596482204,332,1,299,396
45,2,,,1596457109,1596482309,333,1,325,356
46,2,,,1596457105,1596482305,334,1,317,486
47,2,,,1596457351,1596482551,335,1,407,142
48,2,,,1596457433,1596482633,336,1,433,26
49,2,,,1596457483,1596482683,337,1,452,117
50,2,,,1596457561,1596482761,338,1,469,384
51,2,,,1596457595,1596482795,339,1,475,460
52,2,,,1596457624,1596482824,340,1,490,477
53,2,,,1596457862,1596483062,341,1,556,276
54,2,,,1596457746,1596482946,342,1,519,514
55,2,,,1596457927,1596483127,343,1,578,252
56,2,,,1596459653,1596484853,344,1,1,270
57,2,,,1596459706,1596484906,345,1,23,501
58,2,,,1596459697,1596484897,346,1,17,526
